time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2022-06-07 04:36:38.110 UTC, , , , , , , , , ,125,3204165,56520,1792, ,11, , , , , , , , , , , ,11,11, , , ,2,6,14, , , , , , , , , , , , , , , , ,6808,2, ,4763, , , , ,8723,43742212096,57,57,57,57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8723,1654576117875,,, , , , , , , , , ,3145728,8696, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,110509056,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-06-07 04:37:38.111 UTC, , , , , , , , , ,125,3204165,56520,1792, ,11, , , , , , , , , , , ,11,11, , , ,2,6,14, , , , , , , , , , , , , , , , ,6808,2, ,4763, , , , ,8723,43743309824,57,57,57,57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8723,1654576117875,,, , , , , , , , , ,3145728,8696, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,134626304,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-06-07 04:38:38.114 UTC, , , , , , , , , ,125,3204165,56520,1792, ,11, , , , , , , , , , , ,11,11, , , ,2,6,14, , , , , , , , , , , , , , , , ,6808,2, ,4763, , , , ,8723,43744632832,57,57,57,57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8723,1654576117875,,, , , , , , , , , ,3145728,8696, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , ,1,7,91338904,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-06-07 04:39:38.117 UTC, , , , , , , , , ,125,3204165,56520,1792, ,11, , , , , , , , , , , ,11,11, , , ,2,6,14, , , , , , , , , , , , , , , , ,6808,2, ,4763, , , , ,8723,43759771648,57,57,57,57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8723,1654576117875,,, , , , , , , , , ,3145728,8696, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,110213272,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-06-07 04:40:38.118 UTC, , , , , , , , , ,125,3204165,56520,1792, ,11, , , , , , , , , , , ,11,11, , , ,2,6,14, , , , , , , , , , , , , , , , ,6808,2, ,4763, , , , ,8723,43758088192,57,57,57,57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8723,1654576117875,,, , , , , , , , , ,3145728,8696, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,124893336,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-06-07 04:41:38.121 UTC, , , , , , , , , ,125,3204165,56520,1792, ,11, , , , , , , , , , , ,11,11, , , ,2,6,14, , , , , , , , , , , , , , , , ,6808,2, ,4763, , , , ,8723,43765821440,57,57,57,57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8723,1654576117875,,, , , , , , , , , ,3145728,8696, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,137476248,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-06-07 04:42:38.124 UTC, , , , , , , , , ,125,3204165,56520,1792, ,11, , , , , , , , , , , ,11,11, , , ,2,6,14, , , , , , , , , , , , , , , , ,6808,2, ,4763, , , , ,8723,43766333440,57,57,57,57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8723,1654576117875,,, , , , , , , , , ,3145728,8696, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,153204888,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-06-07 04:43:38.127 UTC, , , , , , , , , ,125,3204165,56520,1792, ,11, , , , , , , , , , , ,11,11, , , ,2,6,14, , , , , , , , , , , , , , , , ,6808,2, ,4763, , , , ,8723,43758952448,57,57,57,57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8723,1654576117875,,, , , , , , , , , ,3145728,8696, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,166836376,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-06-07 04:44:38.130 UTC, , , , , , , , , ,125,3204165,56520,1792, ,11, , , , , , , , , , , ,11,11, , , ,2,6,14, , , , , , , , , , , , , , , , ,6808,2, ,4763, , , , ,8723,43758673920,57,57,57,57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8723,1654576117875,,, , , , , , , , , ,3145728,8696, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,180467864,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-06-07 04:45:38.133 UTC, , , , , , , , , ,125,3204165,56520,1792, ,11, , , , , , , , , , , ,11,11, , , ,2,6,14, , , , , , , , , , , , , , , , ,6808,2, ,4763, , , , ,8723,43758301184,57,57,57,57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8723,1654576117875,,, , , , , , , , , ,3145728,8696, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,195147928,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
