time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2022-06-07 04:34:38.323 UTC, , , , , , , , , ,1909,4054109,898072,8400, ,47, ,158, , , , , , , , , ,47,38, , , ,5,36,40, ,98, , , , , , , , , , , , , , ,29700,3, ,21987, , , , ,946497,43752411136,71,71,71,71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,946497,1654576118246,,, , , , , , , , , ,3145728,946467,35,35,35,35, , , , , , , , ,3,1, , ,1, , , , , , , , , , , , , , , , , ,1,8,81148928,3, , , , , , ,230, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,86,144,14, , , , , , , , , , 
2022-06-07 04:35:38.324 UTC, , , , , , , , , ,1909,4054109,898072,8400, ,47, ,206, , , , , , , , , ,47,38, , , ,5,36,40, ,114, , , , , , , , , , , , , , ,29700,3, ,21987, , , , ,946497,43751563264,71,71,71,71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,946497,1654576118246,,, , , , , , , , , ,3145728,946467, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,94780416,1, , , , , , ,260, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,86,174,32, , , , , , , , , , 
2022-06-07 04:36:38.327 UTC, , , , , , , , , ,1909,4055133,899096,8400, ,47, ,329, , , , , , , , , ,47,38, , , ,5,36,40, ,141, , , , , , , , , , , , , , ,29700,3, ,21987, , , , ,954242,43742212096,71,71,71,71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,954242,1654576118246,,, , , , , , , , , ,3145728,954212,58,58,58,58, , , , , , ,5, ,3,1, , ,1, , , , , , , , , ,7745,5, , , , , , , , ,110509056,2, , , , , , ,366, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,13, ,90,245,58,7, , , , , , , , , 
2022-06-07 04:37:38.330 UTC, , , , , , , , , ,1909,4083877,927840,8400, ,55, ,682, , , , , , , , , ,55,46, , , ,5,44,48, ,196, , , , , , , , , , , , , , ,29700,3, ,21987, , , , ,955493,43744489472,71,71,71,71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,955493,1654576118246,,, , , , , , , , , ,3145728,1002991,32,32,32,32, , , , , , ,28, ,3,1, , ,1, , , , , , , , , ,48779,28, , , , , , , , ,134626304,1, , , , , , ,758, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,31, ,77, ,90,406,132,43, , , , , , , , , 
2022-06-07 04:38:38.333 UTC, , , , , , , , , ,2349,4192925,1036448,8400, ,57, ,1395, , , , , , , , , ,57,48, , , ,5,46,50, ,612, , , , , , , , , , , , , , ,29700,3, ,21987, , , , ,1082498,43745964032,70,70,70,70, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1082498,1654576118246,,, , , , , , , , , ,3145728,1107655,43,43,25,43, , , , , , ,8, ,3,3, , ,1, , , , , , , , , ,104664,8, , , , , , ,1,7,92387480,2, , , , , , ,1407, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,80, ,188,1095,204,18, , , , , , , , , 
2022-06-07 04:39:38.336 UTC, , , , , , , , , ,2349,4092877,936400,8400, ,57, ,394, , , , , , , , , ,57,48, , , ,5,46,50, ,183, , , , , , , , , , , , , , ,29700,3, ,21987, , , , ,1107685,43759812608,70,70,70,70, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1107685,1654576118246,,, , , , , , , , , ,3145728,1110735,24,24,24,24, , , , , , ,4, ,3,1, , ,1, , , , , , , , , ,3080,4, , , , , , , , ,111261848,1, , , , , , ,527, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,21, , , ,119,320,28,19, , , , , , , , , 
2022-06-07 04:40:38.337 UTC, , , , , , , , , ,2349,4092877,936400,8400, ,57, ,176, , , , , , , , , ,57,48, , , ,5,46,50, ,103, , , , , , , , , , , , , , ,29700,3, ,21987, , , , ,1112248,43758075904,61,61,61,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1112248,1654576118246,,, , , , , , , , , ,3145728,1112218,32,32,19,32, , , , , , ,1, ,3,2, , ,1, , , , , , , , , ,1483,1, , , , , , , , ,124893336,2, , , , , , ,246, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1, ,86,155,16,1, , , , , , , , , 
2022-06-07 04:41:38.340 UTC, , , , , , , , , ,2349,4092877,936400,8400, ,57, ,223, , , , , , , , , ,57,48, , , ,5,46,50, ,119, , , , , , , , , , , , , , ,29700,3, ,21987, , , , ,1114459,43765821440,61,61,61,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1114459,1654576118246,,, , , , , , , , , ,3145728,1114429,66,66,66,66, , , , , , ,1, ,3,1, , ,1, , , , , , , , , ,2211,1, , , , , , , , ,138524824,2, , , , , , ,287, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,92,194,28,1, , , , , , , , , 
2022-06-07 04:42:38.342 UTC, , , , , , , , , ,2349,4092877,936400,8400, ,57, ,256, , , , , , , , , ,57,48, , , ,5,46,50, ,122, , , , , , , , , , , , , , ,29700,3, ,21987, , , , ,1114459,43766353920,61,61,61,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1114459,1654576118246,,, , , , , , , , , ,3145728,1115578, , , , , , , , , , ,1, ,3, , , ,1, , , , , , , , , ,1149,1, , , , , , , , ,153204888,1, , , , , , ,324, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5, ,1, ,87,204,31,9, , , , , , , , , 
2022-06-07 04:43:38.345 UTC, , , , , , , , , ,2349,4092877,936400,8400, ,57, ,162, , , , , , , , , ,57,48, , , ,5,46,50, ,99, , , , , , , , , , , , , , ,29700,3, ,21987, , , , ,1115608,43758952448,61,61,61,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1115608,1654576118246,,, , , , , , , , , ,3145728,1115578,30,30,30,30, , , , , , , , ,3,1, , ,1, , , , , , , , , , , , , , , , , , , ,167884952,1, , , , , , ,232, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,86,146,16, , , , , , , , , , 
2022-06-07 04:44:38.349 UTC, , , , , , , , , ,2349,4092877,936400,8400, ,57, ,206, , , , , , , , , ,57,48, , , ,5,46,50, ,114, , , , , , , , , , , , , , ,29700,3, ,21987, , , , ,1115608,43758673920,61,61,61,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1115608,1654576118246,,, , , , , , , , , ,3145728,1115578, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,181516440,1, , , , , , ,262, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,86,176,30, , , , , , , , , , 
2022-06-07 04:45:38.352 UTC, , , , , , , , , ,2349,4092877,936400,8400, ,57, ,210, , , , , , , , , ,57,48, , , ,5,46,50, ,116, , , , , , , , , , , , , , ,29700,3, ,21987, , , , ,1115608,43758403584,61,61,61,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1115608,1654576118246,,, , , , , , , , , ,3145728,1116051, , , , , , , , , , ,1, ,3, , , ,1, , , , , , , , , ,473,1, , , , , , , , ,195147928,1, , , , , , ,268, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,86,181,28,1, , , , , , , , , 
2022-06-07 04:46:38.355 UTC, , , , , , , , , ,2349,4092877,936400,8400, ,57, ,227, , , , , , , , , ,57,48, , , ,5,46,50, ,114, , , , , , , , , , , , , , ,29700,3, ,21987, , , , ,1120166,43756732416,61,61,61,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1120166,1654576118246,,, , , , , , , , , ,3145728,1120136,90,90,64,90, , , , , , ,2, ,3,2, , ,1, , , , , , , , , ,4085,2, , , , , , ,1,13,98252528,2, , , , , , ,299, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7, ,92,189,27,4, , , , , , , , , 
2022-06-07 04:47:38.358 UTC, , , , , , , , , ,2349,4092877,936400,8400, ,57, ,274, , , , , , , , , ,57,48, , , ,5,46,50, ,139, , , , , , , , , , , , , , ,29700,3, ,21987, , , , ,1120924,43755565056,61,61,61,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1120924,1654576118246,,, , , , , , , , , ,3145728,1120894,11,11,11,11, , , , , , ,1, ,3,1, , ,1, , , , , , , , , ,758,1, , , , , , , , ,113981168,2, , , , , , ,344, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,6, , , ,87,228,27,4, , , , , , , , , 
2022-06-07 04:48:38.361 UTC, , , , , , , , , ,2349,4092877,936400,8400, ,57, ,206, , , , , , , , , ,57,48, , , ,5,46,50, ,114, , , , , , , , , , , , , , ,29700,3, ,21987, , , , ,1120924,43754323968,61,61,61,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1120924,1654576118246,,, , , , , , , , , ,3145728,1120894, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,127612656,1, , , , , , ,262, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,86,176,30, , , , , , , , , , 
2022-06-07 04:49:38.364 UTC, , , , , , , , , ,2349,4092877,936400,8400, ,57, ,162, , , , , , , , , ,57,48, , , ,5,46,50, ,99, , , , , , , , , , , , , , ,29700,3, ,21987, , , , ,1120924,43752984576,61,61,61,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1120924,1654576118246,,, , , , , , , , , ,3145728,1120894, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,142292720,1, , , , , , ,232, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,86,146,16, , , , , , , , , , 
