time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2022-06-07 04:36:38.258 UTC, , , , , , , , , ,589,3235989,87544,2128, ,18, ,16, , , , , , , , , ,18,18, , , ,2,13,18, ,7, , , , , , , , , , , , , , ,8079,2, ,5646, , , , ,18124,43742212096,53,53,53,53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18124,1654576118164,,, , , , , , , , , ,3145728,18097,34,34,34,34, , , , , , ,1, ,3,1, , ,1, , , , , , , , , ,394,1, , , , , , , , ,110509056,2, , , , , , ,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14,1,1, , , , , , , , , 
2022-06-07 04:37:38.260 UTC, , , , , , , , , ,589,3235989,87544,2128, ,18, ,98, , , , , , , , , ,18,18, , , ,2,13,18, ,37, , , , , , , , , , , , , , ,8079,2, ,5646, , , , ,18124,43743309824,53,53,53,53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18124,1654576118164,,, , , , , , , , , ,3145728,18097, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,134626304,1, , , , , , ,81, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,81,17, , , , , , , , , , 
2022-06-07 04:38:38.261 UTC, , , , , , , , , ,589,3235989,87544,2128, ,18, ,6, , , , , , , , , ,18,18, , , ,2,13,18, ,3, , , , , , , , , , , , , , ,8079,2, ,5646, , , , ,18124,43744632832,53,53,53,53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18124,1654576118164,,, , , , , , , , , ,3145728,18097, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , ,1,7,92387480,2, , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, , , , , , , , , , 
2022-06-07 04:39:38.264 UTC, , , , , , , , , ,589,3240493,92048,2128, ,18, ,260, , , , , , , , , ,18,18, , , ,2,13,18, ,16, , , , , , , , , , , , , , ,8079,2, ,5646, , , , ,18124,43759816704,53,53,53,53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18124,1654576118164,,, , , , , , , , , ,3145728,25114, , , , , , , , , , ,6, ,3, , , ,1, , , , , , , , , ,7017,6, , , , , , , , ,111261848,1, , , , , , ,261, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,34, , ,127,49,50, , , , , , , , , 
2022-06-07 04:40:38.266 UTC, , , , , , , , , ,589,3240493,92048,2128, ,18, , , , , , , , , , , ,18,18, , , ,2,13,18, , , , , , , , , , , , , , , , ,8079,2, ,5646, , , , ,25141,43758084096,51,51,51,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,25141,1654576118164,,, , , , , , , , , ,3145728,25114,53,53,53,53, , , , , , , , ,3,1, , ,1, , , , , , , , , , , , , , , , , , , ,124893336,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-06-07 04:41:38.268 UTC, , , , , , , , , ,589,3240493,92048,2128, ,18, ,22, , , , , , , , , ,18,18, , , ,2,13,18, ,13, , , , , , , , , , , , , , ,8079,2, ,5646, , , , ,25534,43765821440,51,51,51,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,25534,1654576118164,,, , , , , , , , , ,3145728,25507,28,28,28,28, , , , , , ,1, ,3,1, , ,1, , , , , , , , , ,393,1, , , , , , , , ,138524824,2, , , , , , ,21, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,20,1,1, , , , , , , , , 
2022-06-07 04:42:38.271 UTC, , , , , , , , , ,589,3240493,92048,2128, ,18, ,12, , , , , , , , , ,18,18, , , ,2,13,18, ,9, , , , , , , , , , , , , , ,8079,2, ,5646, , , , ,25534,43766321152,51,51,51,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,25534,1654576118164,,, , , , , , , , , ,3145728,25507, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,153204888,1, , , , , , ,11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,1, , , , , , , , , , 
2022-06-07 04:43:38.274 UTC, , , , , , , , , ,589,3240493,92048,2128, ,18, ,12, , , , , , , , , ,18,18, , , ,2,13,18, ,9, , , , , , , , , , , , , , ,8079,2, ,5646, , , , ,25534,43758952448,51,51,51,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,25534,1654576118164,,, , , , , , , , , ,3145728,25507, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,166836376,1, , , , , , ,11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,1, , , , , , , , , , 
2022-06-07 04:44:38.276 UTC, , , , , , , , , ,589,3243925,95480,2128, ,18, ,260, , , , , , , , , ,18,18, , , ,2,12,19, ,26, , , , , , , , , , , , , , ,8079,2, ,5646, , , , ,25534,43760222208,51,51,51,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,25534,1654576118164,,, , , , , , , , , ,3145728,32771, , , , , , , , , , ,6, ,3, , , ,1, , , , , , , , , ,7264,6, , , , , , , , ,181516440,1, , , , , , ,281, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,26, , ,139,37,58, , , , , , , , , 
2022-06-07 04:45:38.279 UTC, , , , , , , , , ,589,3243925,95480,2128, ,18, ,6, , , , , , , , , ,18,18, , , ,2,12,19, ,1, , , , , , , , , , , , , , ,8079,2, ,5646, , , , ,32798,43758301184,49,49,49,49, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,32798,1654576118164,,, , , , , , , , , ,3145728,32771,55,55,55,55, , , , , , , , ,3,1, , ,1, , , , , , , , , , , , , , , , , , , ,195147928,1, , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,4,1, , , , , , , , , , 
